date,stiffness,rating,ascent_type,grade,color,climb_name,gym,location,country,attempts
Tue Dec 28 2021 22:32:38 GMT+0000 (GMT),0,,Flash,v1,,,Santa Barbara Rock Gym,,,1
Tue Dec 28 2021 22:34:52 GMT+0000 (GMT),0,,Flash,v1,,,Santa Barbara Rock Gym,,,1
Fri Dec 31 2021 19:42:20 GMT+0000 (GMT),0,,Flash,v1,Yellow,,Movement San Francisco,,,1
Fri Dec 31 2021 19:42:20 GMT+0000 (GMT),0,,Redpoint,v2,,,,,,
Fri Dec 31 2021 19:45:04 GMT+0000 (GMT),0,,Flash,v1,Green,,Movement San Francisco,,,1
Fri Dec 31 2021 20:04:01 GMT+0000 (GMT),0,,Flash,v3,Purple,,Movement San Francisco,,,1
Fri Dec 31 2021 21:06:24 GMT+0000 (GMT),0,,Flash,v2,Black,,Movement San Francisco,,,1
Fri Dec 31 2021 21:20:02 GMT+0000 (GMT),0,,Flash,v2,Yellow,,Movement San Francisco,,,1
Fri Dec 31 2021 21:39:59 GMT+0000 (GMT),0,,Flash,v2,White,,Movement San Francisco,,,1
Fri Dec 31 2021 22:39:54 GMT+0000 (GMT),0,,Redpoint,v3,Orange,,Movement San Francisco,,,4
Fri Dec 31 2021 22:43:54 GMT+0000 (GMT),0,,Flash,v2,Orange,,Movement San Francisco,,,1
Tue Jan 04 2022 02:10:36 GMT+0000 (GMT),0,,Flash,v1,Yellow,,Touchstone Dogpatch Boulders,,,1
Tue Jan 04 2022 02:13:48 GMT+0000 (GMT),0,,Redpoint,v1,Purple,,Touchstone Dogpatch Boulders,,,
Tue Jan 04 2022 02:26:54 GMT+0000 (GMT),0,,Flash,v2,Pink,,Touchstone Dogpatch Boulders,,,1
Tue Jan 04 2022 02:48:33 GMT+0000 (GMT),0,,Flash,v4,Purple,,,,,1
Tue Jan 04 2022 03:43:55 GMT+0000 (GMT),0,,Redpoint,v4,,,,,,4
Tue Jan 04 2022 04:24:26 GMT+0000 (GMT),0,,Redpoint,v2,,,,,,2
Sat Jan 08 2022 02:32:28 GMT+0000 (GMT),0,,Flash,v1,Yellow,,Movement Santa Clara,,,1
Sat Jan 08 2022 02:34:58 GMT+0000 (GMT),0,,Flash,v0,Pink,,Movement Santa Clara,,,1
Sat Jan 08 2022 02:48:12 GMT+0000 (GMT),0,,Flash,v2,Purple,,Movement Santa Clara,,,1
Sat Jan 08 2022 03:04:41 GMT+0000 (GMT),0,,Flash,v2,Blue,,Movement Santa Clara,,,1
Sat Jan 08 2022 03:06:51 GMT+0000 (GMT),0,,Flash,v2,Pink,,Movement Santa Clara,,,1
Sat Jan 08 2022 03:22:03 GMT+0000 (GMT),0,,Flash,v2,Blue,,Movement Santa Clara,,,1
Sat Jan 08 2022 03:55:19 GMT+0000 (GMT),0,,Repeat,v2,Pink,,Movement Santa Clara,,,1
